,dataset,metric,graphid,rule,pred,fidelity,infidelity,mags,spars
0,ba2,cosine,6,24,0.7118849754333496,0.18313777446746826,0.7105653285980225,4,0.32
0,ba2,cosine,7,0,0.6011052131652832,0.6011052131652832,0,15,0.0
0,ba2,cosine,7,1,0.6011052131652832,0.36744311451911926,0.7258201241493225,5,0.2
0,ba2,cosine,7,2,0.6011052131652832,0.14374519884586334,0.6284945011138916,3,0.68
0,ba2,cosine,7,3,0.6011052131652832,0.6011052131652832,0,2,0.0
0,ba2,cosine,7,4,0.6011052131652832,0.6011052131652832,0,4,0.0
0,ba2,cosine,7,5,0.6011052131652832,0.7364557385444641,0.6171372532844543,2,0.52
0,ba2,cosine,7,6,0.6011052131652832,0.2988113462924957,0.6272518634796143,2,0.64
0,ba2,cosine,7,7,0.6011052131652832,0.6011052131652832,0,3,0.0
0,ba2,cosine,7,8,0.6011052131652832,0.6966133117675781,0.7208060622215271,2,0.16
0,ba2,cosine,7,9,0.6011052131652832,0.2617277503013611,0.7364557385444641,3,0.12
0,ba2,cosine,7,10,0.6011052131652832,0.1972823441028595,0.725756824016571,3,0.2
0,ba2,cosine,7,11,0.6011052131652832,0.6011052131652832,0,3,0.0
0,ba2,cosine,7,12,0.6011052131652832,0.6011052131652832,0,3,0.0
0,ba2,cosine,7,13,0.6011052131652832,0.6011052131652832,0,3,0.0
0,ba2,cosine,7,14,0.6011052131652832,0.6011052131652832,0,3,0.0
0,ba2,cosine,7,15,0.6011052131652832,0.20510219037532806,0.5773440003395081,3,0.28
0,ba2,cosine,7,16,0.6011052131652832,0.6011052131652832,0,3,0.0
0,ba2,cosine,7,17,0.6011052131652832,0.2617277503013611,0.7364557385444641,3,0.12
0,ba2,cosine,7,18,0.6011052131652832,0.35571587085723877,0.7364557385444641,3,0.12
0,ba2,cosine,7,19,0.6011052131652832,0.35571587085723877,0.7364557385444641,3,0.12
0,ba2,cosine,7,20,0.6011052131652832,0.2093498557806015,0.7243216037750244,3,0.36
0,ba2,cosine,7,21,0.6011052131652832,0.6011052131652832,0,3,0.0
0,ba2,cosine,7,22,0.6011052131652832,0.36744311451911926,0.7258201241493225,4,0.2
0,ba2,cosine,7,23,0.6011052131652832,0.35571587085723877,0.7364557385444641,3,0.12
0,ba2,cosine,7,24,0.6011052131652832,0.20095811784267426,0.7180229425430298,4,0.24
0,ba2,cosine,8,0,0.6340293884277344,0.6340293884277344,0,15,0.0
0,ba2,cosine,8,1,0.6340293884277344,0.3508457541465759,0.7258201241493225,5,0.2
0,ba2,cosine,8,2,0.6340293884277344,0.14374519884586334,0.7221346497535706,3,0.72
0,ba2,cosine,8,3,0.6340293884277344,0.3651717007160187,0.7019941210746765,2,0.28
0,ba2,cosine,8,4,0.6340293884277344,0.6340293884277344,0,4,0.0
0,ba2,cosine,8,5,0.6340293884277344,0.37625810503959656,0.721500039100647,2,0.6
0,ba2,cosine,8,6,0.6340293884277344,0.14374518394470215,0.2963078022003174,2,0.56
0,ba2,cosine,8,7,0.6340293884277344,0.6340293884277344,0,3,0.0
0,ba2,cosine,8,8,0.6340293884277344,0.3406716585159302,0.7087187767028809,2,0.36
0,ba2,cosine,8,9,0.6340293884277344,0.31454524397850037,0.7364557385444641,3,0.12
0,ba2,cosine,8,10,0.6340293884277344,0.31454524397850037,0.7364557385444641,3,0.12
0,ba2,cosine,8,11,0.6340293884277344,0.6340293884277344,0,3,0.0
0,ba2,cosine,8,12,0.6340293884277344,0.6340293884277344,0,3,0.0
0,ba2,cosine,8,13,0.6340293884277344,0.6340293884277344,0,3,0.0
0,ba2,cosine,8,14,0.6340293884277344,0.6340293884277344,0,3,0.0
0,ba2,cosine,8,15,0.6340293884277344,0.2711816728115082,0.7364557385444641,3,0.12
0,ba2,cosine,8,16,0.6340293884277344,0.6340293884277344,0,3,0.0
0,ba2,cosine,8,17,0.6340293884277344,0.31454524397850037,0.7364557385444641,3,0.12
0,ba2,cosine,8,18,0.6340293884277344,0.3588498830795288,0.7364557385444641,3,0.12
0,ba2,cosine,8,19,0.6340293884277344,0.3588498830795288,0.7364557385444641,3,0.12
0,ba2,cosine,8,20,0.6340293884277344,0.19260215759277344,0.5410898327827454,3,0.24
0,ba2,cosine,8,21,0.6340293884277344,0.6340293884277344,0,3,0.0
0,ba2,cosine,8,22,0.6340293884277344,0.3508457541465759,0.7258201241493225,4,0.2
0,ba2,cosine,8,23,0.6340293884277344,0.6340293884277344,0,3,0.0
0,ba2,cosine,8,24,0.6340293884277344,0.24991975724697113,0.7101691365242004,4,0.2
0,ba2,cosine,9,0,0.278908908367157,0.278908908367157,0,15,0.0
0,ba2,cosine,9,1,0.278908908367157,0.14374524354934692,0.723513126373291,5,0.6
0,ba2,cosine,9,2,0.278908908367157,0.1437452882528305,0.7203871607780457,3,0.64
0,ba2,cosine,9,3,0.278908908367157,0.24292829632759094,0.7019941210746765,2,0.28
0,ba2,cosine,9,4,0.278908908367157,0.278908908367157,0,4,0.0
0,ba2,cosine,9,5,0.278908908367157,0.14374515414237976,0.7105023264884949,2,0.52
0,ba2,cosine,9,6,0.278908908367157,0.295993834733963,0.7129260301589966,2,0.48
0,ba2,cosine,9,7,0.278908908367157,0.278908908367157,0,3,0.0
0,ba2,cosine,9,8,0.278908908367157,0.18210510909557343,0.7014576196670532,2,0.48
0,ba2,cosine,9,9,0.278908908367157,0.16649410128593445,0.45713067054748535,3,0.24
0,ba2,cosine,9,10,0.278908908367157,0.20268073678016663,0.7364557385444641,3,0.12
0,ba2,cosine,9,11,0.278908908367157,0.7149795889854431,0.7321114540100098,3,0.16
0,ba2,cosine,9,12,0.278908908367157,0.7149795889854431,0.7321114540100098,3,0.16
0,ba2,cosine,9,13,0.278908908367157,0.16649410128593445,0.45713067054748535,3,0.24
0,ba2,cosine,9,14,0.278908908367157,0.7149795889854431,0.7321114540100098,3,0.16
0,ba2,cosine,9,15,0.278908908367157,0.14374525845050812,0.7214433550834656,3,0.24
0,ba2,cosine,9,16,0.278908908367157,0.7149795889854431,0.7321114540100098,3,0.16
0,ba2,cosine,9,17,0.278908908367157,0.20268073678016663,0.7364557385444641,3,0.12
0,ba2,cosine,9,18,0.278908908367157,0.7149795889854431,0.7321114540100098,3,0.16
0,ba2,cosine,9,19,0.278908908367157,0.278908908367157,0,3,0.0
0,ba2,cosine,9,20,0.278908908367157,0.20268073678016663,0.7364557385444641,3,0.12
0,ba2,cosine,9,21,0.278908908367157,0.278908908367157,0,3,0.0
0,ba2,cosine,9,22,0.278908908367157,0.6420458555221558,0.1437452882528305,4,0.32
0,ba2,cosine,9,23,0.278908908367157,0.278908908367157,0,3,0.0
0,ba2,cosine,9,24,0.278908908367157,0.14374525845050812,0.7101691365242004,4,0.2
0,ba2,cosine,10,0,0.7202869057655334,0.7202869057655334,0,15,0.0
0,ba2,cosine,10,1,0.7202869057655334,0.3427676558494568,0.7258201241493225,5,0.2
0,ba2,cosine,10,2,0.7202869057655334,0.19796837866306305,0.7259738445281982,3,0.6
0,ba2,cosine,10,3,0.7202869057655334,0.36495792865753174,0.6994062662124634,2,0.32
0,ba2,cosine,10,4,0.7202869057655334,0.7202869057655334,0,4,0.0
0,ba2,cosine,10,5,0.7202869057655334,0.27843233942985535,0.7199995517730713,2,0.6
0,ba2,cosine,10,6,0.7202869057655334,0.14374524354934692,0.34884124994277954,2,0.56
