29,# 29 9 target:0 c+:284 c-:1188 score:277.65215190522815 score+:3356.3195093046306 score-:5133.29328149809 nb:9 =l_1c_9 l_1c_19 l_1c_10 l_1c_3 l_1c_6 l_1c_17 l_1c_12 l_1c_1 l_1c_13 
30,# 30 0 target:1 c+:802 c-:725 score:1042.9519853360985 score+:11167.686635121956 score-:6370.107502575904 nb:6 =l_1c_0 l_1c_19 l_1c_10 l_1c_15 l_1c_13 l_1c_6 
31,# 31 1 target:1 c+:681 c-:622 score:892.3181921146797 score+:11281.315210316556 score-:6641.26061132022 nb:7 =l_1c_11 l_1c_10 l_1c_15 l_1c_13 l_1c_3 l_1c_7 l_1c_6 
32,# 32 2 target:1 c+:285 c-:259 score:344.5218699684645 score+:2387.1922418872023 score-:1422.5310059755018 nb:3 =l_1c_16 l_1c_2 l_1c_19 
33,# 33 3 target:1 c+:85 c-:21 score:193.93599273319114 score+:948.922514907575 score-:173.17854397481042 nb:5 =l_1c_16 l_1c_18 l_1c_10 l_1c_3 l_1c_6 
34,# 34 4 target:1 c+:345 c-:207 score:141.3676378212894 score+:1850.545573237266 score-:1369.8956046448818 nb:4 =l_1c_11 l_1c_0 l_1c_3 l_1c_10 
35,# 35 5 target:1 c+:77 c-:46 score:108.51344134125854 score+:703.5150206097222 score-:269.46125524468806 nb:5 =l_1c_16 l_1c_19 l_1c_7 l_1c_17 l_1c_1 
36,# 36 6 target:1 c+:1319 c-:1988 score:104.90598946780074 score+:11785.78512577539 score-:11303.217574223507 nb:6 =l_1c_10 l_1c_15 l_1c_13 l_1c_6 l_1c_17 l_1c_1 
37,# 37 7 target:1 c+:75 c-:34 score:97.93370221367287 score+:560.3027558483739 score-:227.3281683218861 nb:4 =l_1c_16 l_1c_18 l_1c_0 l_1c_14 
38,# 38 8 target:1 c+:32 c-:13 score:59.06792310461219 score+:371.1976152474776 score-:99.48516896626154 nb:6 =l_1c_2 l_1c_19 l_1c_15 l_1c_13 l_1c_7 l_1c_1 
